  I     	  II     	  AO     	  AO'		
-33.57   	-23.80   	119.25   	-381.48		
-24.11   	-27.16   	117.72   	-381.48		
-14.65   	-26.25   	116.19   	-381.48		
-12.51   	-23.19   	114.67   	-366.22		
-19.23   	-21.36   	113.20   	-366.22		
-29.30   	-22.58   	111.74   	-361.14		
-35.71   	-26.86   	110.29   	-356.05		
-35.71   	-32.04   	108.87   	-350.97		
-31.43   	-35.71   	107.47   	-340.79		
-26.55   	-35.10   	106.10   	-330.62		
-23.80   	-30.52   	104.78   	-320.45		
-22.28   	-24.11   	103.50   	-310.27		
-20.14   	-19.84   	102.26   	-295.01		
-17.40   	-20.14   	101.08   	-279.75		
-16.17   	-25.63   	 99.96   	-279.75		
-19.53   	-33.26   	 98.84   	-264.50		
-27.47   	-38.76   	 97.78   	-264.50		
-34.79   	-40.59   	 96.72   	-259.41		
-36.01   	-39.37   	 95.69   	-259.41		
-29.30   	-37.54   	 94.65   	-254.32		
-18.92   	-36.32   	 93.63   	-249.24		
-11.90   	-34.18   	 92.63   	-244.15		
-11.90   	-30.52   	 91.66   	-244.15		
-16.17   	-24.72   	 90.68   	-228.89		
-19.84   	-18.92   	 89.77   	-228.89		
-18.92   	-14.95   	 88.85   	-218.72		
-13.73   	-13.43   	 87.98   	-213.63		
 -8.24   	-14.04   	 87.12   	-208.54		
 -6.71   	-16.48   	 86.29   	-198.37		
 -9.46   	-20.45   	 85.49   	-193.29		
-14.65   	-24.41   	 84.72   	-183.11		
-19.23   	-25.94   	 83.99   	-178.03		
-19.84   	-23.80   	 83.28   	-172.94		
-18.01   	-18.62   	 82.58   	-162.77		
-15.56   	-12.82   	 81.93   	-152.59		
-14.95   	 -9.16   	 81.32   	-147.51		
-16.17   	 -7.93   	 80.73   	-137.33		
-17.40   	 -7.63   	 80.18   	-137.33		
-15.87   	 -6.10   	 79.63   	-127.16		
-11.60   	 -3.97   	 79.12   	-122.07		
 -8.24   	 -2.75   	 78.64   	-111.90		
 -8.54   	 -4.27   	 78.19   	-111.90		
-12.82   	 -9.16   	 77.74   	-106.82		
-18.92   	-15.26   	 77.31   	-106.82		
-22.28   	-18.92   	 76.89   	 -96.64		
-19.53   	-17.70   	 76.50   	-101.73		
-12.21   	-11.90   	 76.09   	 -96.64		
 -4.58   	 -4.88   	 75.71   	-101.73		
 -0.92   	 -0.31   	 75.30   	 -96.64		
 -2.44   	 -0.61   	 74.91   	 -96.64		
 -6.71   	 -4.88   	 74.53   	 -96.64		
-10.99   	-10.07   	 74.14   	 -91.56		
-13.73   	-14.34   	 73.77   	 -91.56		
-15.56   	-15.87   	 73.41   	 -91.56		
-17.40   	-14.65   	 73.04   	 -86.47		
-17.40   	-10.07   	 72.70   	 -86.47		
-14.04   	 -3.05   	 72.35   	 -81.38		
 -8.54   	  3.05   	 72.02   	 -81.38		
 -5.49   	  4.27   	 71.70   	 -76.30		
 -8.24   	 -1.83   	 71.39   	 -81.38		
-16.78   	-12.82   	 71.07   	 -76.30		
-25.63   	-21.67   	 70.76   	 -71.21		
-28.69   	-22.89   	 70.48   	 -76.30		
-24.72   	-15.87   	 70.17   	 -71.21		
-18.01   	 -5.49   	 69.89   	 -76.30		
-14.34   	  1.53   	 69.58   	 -71.21		
-14.65   	  3.05   	 69.30   	 -71.21		
-16.17   	  0.61   	 69.01   	 -71.21		
-13.73   	 -2.75   	 68.73   	 -71.21		
 -5.80   	 -5.80   	 68.44   	 -71.21		
  5.19   	 -8.24   	 68.16   	 -71.21		
 14.04   	-11.29   	 67.87   	 -71.21		
 18.01   	-13.43   	 67.59   	 -71.21		
 18.01   	-12.21   	 67.30   	 -66.12		
 17.09   	 -7.63   	 67.04   	 -66.12		
 16.48   	 -0.92   	 66.77   	 -71.21		
 16.78   	  4.58   	 66.49   	 -66.12		
 17.70   	  8.54   	 66.23   	 -66.12		
 19.53   	 12.51   	 65.96   	 -66.12		
 22.58   	 19.53   	 65.70   	 -66.12		
 26.86   	 31.74   	 65.43   	 -66.12		
 29.30   	 45.17   	 65.17   	 -66.12		
 27.77   	 54.63   	 64.90   	 -61.04		
 22.58   	 54.63   	 64.66   	 -66.12		
 16.17   	 43.33   	 64.39   	 -61.04		
 12.51   	 25.33   	 64.15   	 -55.95		
 12.51   	  6.71   	 63.93   	 -61.04		
 14.65   	 -5.80   	 63.68   	 -55.95		
 14.65   	 -9.16   	 63.46   	 -50.86		
  8.24   	 -2.44   	 63.26   	 -50.86		
 -3.66   	  9.77   	 63.05   	 -50.86		
-18.01   	 18.92   	 62.85   	 -45.78		
-28.99   	 17.70   	 62.67   	 -45.78		
-33.26   	  5.49   	 62.48   	 -45.78		
-30.52   	-11.90   	 62.30   	 -35.61		
-23.50   	-25.02   	 62.16   	 -40.69		
-17.40   	-28.69   	 61.99   	 -35.61		
-14.95   	-24.72   	 61.85   	 -35.61		
-17.70   	-20.14   	 61.71   	 -35.61		
-24.41   	-19.23   	 61.57   	 -35.61		
-32.65   	-22.28   	 61.42   	 -35.61		
-39.06   	-26.86   	 61.28   	 -35.61		
-40.59   	-30.82   	 61.14   	 -35.61		
-36.62   	-34.18   	 61.00   	 -35.61		
-29.30   	-36.01   	 60.85   	 -40.69		
-21.67   	-36.32   	 60.69   	 -35.61		
-17.70   	-33.57   	 60.55   	 -35.61		
-17.40   	-28.38   	 60.41   	 -35.61		
-19.23   	-21.67   	 60.26   	 -35.61		
-21.97   	-15.87   	 60.12   	 -30.52		
-24.72   	-12.51   	 60.00   	 -30.52		
-27.47   	-12.51   	 59.88   	 -25.43		
-28.99   	-14.34   	 59.78   	 -30.52		
-27.16   	-13.43   	 59.65   	 -25.43		
-18.31   	 -6.10   	 59.55   	 -25.43		
  3.66   	  9.77   	 59.45   	 -20.35		
 44.25   	 39.98   	 59.37   	 -25.43		
107.42   	 97.05   	 59.27   	 -25.43		
194.40   	199.28   	 59.17   	 -25.43		
299.38   	361.94   	 59.06   	 -30.52		
409.24   	577.39   	 58.94   	 -25.43		
508.42   	798.34   	 58.84   	 -55.95		
621.95   	949.10(R)	 58.62   	 -30.52		
616.76   	787.35   	 58.49   	 -30.52		
559.39   	503.85   	 58.37   	 -25.43		
452.88   	188.90   	 58.27   	 -30.52		
314.94   	-72.02   	 58.15   	 -30.52		
178.53   	-240.17   	 58.03   	 -30.52		
 76.90   	-325.32   	 57.90   	 -30.52		
 23.80   	-355.22   	 57.78   	 -25.43		
  6.71   	-346.07   	 57.68   	 -25.43		
 -0.31   	-301.51   	 57.58   	 -20.35		
-15.26   	-226.14   	 57.50   	 -15.26		
-36.93   	-140.69   	 57.44   	 -15.26		
-55.24   	-74.16   	 57.38   	  -5.09		
-62.56   	-44.56   	 57.35   	   0.00		
-61.34   	-46.69   	 57.35   	   5.09		
-58.90   	-59.81   	 57.38   	  20.35		
-58.59   	-66.22   	 57.46   	  25.43		
-58.29   	-61.95   	 57.56   	  50.86		
-56.15   	-52.49   	 57.76   	  71.21		
-53.41   	-45.78   	 58.05   	  96.64		
-52.80   	-43.95   	 58.43   	 132.25		
-55.24   	-45.47   	 58.96   	 162.77		
-57.68   	-47.61   	 59.61   	 203.46		
-57.37   	-49.13   	 60.43   	 233.98		
-53.71   	-50.66   	 61.36   	 259.41		
-50.05   	-52.49   	 62.40   	 284.84		
-49.13   	-53.71   	 63.54   	 295.01		
-51.57   	-53.10   	 64.72   	 305.19		
-55.85   	-51.27   	 65.94   	 305.19		
-59.81   	-49.44   	 67.16   	 315.36		
-61.04   	-49.44   	 68.42   	 320.45		
-57.98   	-50.35   	 69.70   	 330.62		
-51.27   	-50.66   	 71.03   	 350.97		
-43.03   	-49.13   	 72.43   	 376.40		
