  I     	  II     	  AO     	  AO'		
 32.35   	335.08   	 75.95   	 -86.47		
 30.82   	231.93   	 75.60   	 -91.56		
 34.79   	152.89   	 75.24   	 -86.47		
 30.52   	106.51   	 74.89   	 -81.38		
 14.65   	 80.57   	 74.57   	 -66.12		
-12.51   	 52.80   	 74.30   	 -55.95		
-49.44   	  3.05   	 74.08   	 -45.78		
-90.64   	-70.19   	 73.90   	 -45.78		
-123.60   	-146.48   	 73.71   	 -35.61		
-136.41   	-195.31   	 73.57   	 -40.69		
-124.21   	-199.89   	 73.41   	 -45.78		
-93.38   	-168.15   	 73.22   	 -40.69		
-60.12   	-126.04   	 73.06   	 -40.69		
-39.06   	-98.88   	 72.90   	 -35.61		
-34.18   	-95.21   	 72.76   	 -30.52		
-39.37   	-105.90   	 72.63   	 -20.35		
-45.47   	-115.97   	 72.55   	 -20.35		
-46.08   	-117.49   	 72.47   	 -15.26		
-41.50   	-111.39   	 72.41   	 -15.26		
-35.40   	-101.93   	 72.35   	 -15.26		
-31.74   	-94.91   	 72.29   	 -15.26		
-31.74   	-93.99   	 72.23   	  -5.09		
-34.18   	-99.18   	 72.21   	   0.00		
-37.23   	-107.42   	 72.21   	  25.43		
-39.06   	-113.22   	 72.31   	  50.86		
-37.84   	-112.92   	 72.51   	  81.38		
-32.96   	-105.90   	 72.84   	 122.07		
-27.47   	-96.13   	 73.33   	 162.77		
-24.72   	-90.03   	 73.98   	 198.37		
-26.25   	-89.72   	 74.77   	 223.80		
-30.52   	-93.99   	 75.67   	 239.06		
-33.57   	-97.96   	 76.62   	 244.15		
-33.57   	-97.96   	 77.60   	 223.80		
-30.82   	-93.69   	 78.49   	 208.54		
-29.30   	-88.20   	 79.33   	 183.11		
-30.82   	-85.14   	 80.06   	 167.85		
-35.40   	-86.36   	 80.73   	 147.51		
-39.98   	-90.03   	 81.32   	 137.33		
-42.42   	-93.69   	 81.87   	 137.33		
-41.50   	-95.83   	 82.42   	 132.25		
-39.06   	-95.52   	 82.95   	 142.42		
-37.84   	-93.08   	 83.52   	 142.42		
